tender_no.,tender_description,agency,award_date,tender_detail_status,supplier_name,awarded_amt
NST000ETT16000195,Supply and delivery of microRNA (miRNA) Reverse Transcription-Quantitative Polymerase Chain Reaction (RT-qPCR) profiling reagents for the expression profiling of a selection of 360 specific human miRNAs in 600 RNA samples for a period of 2 years.,"Agency for Science, Technology and Research",17/2/2017,Awarded to Suppliers,MIRXES PTE. LTD.,298000
NST000ETT16000199,"Supply, Delivery, Installation and Commissioning of Hyper Converged Infrastructure System.","Agency for Science, Technology and Research",8/3/2017,Awarded to Suppliers,CXRUS SOLUTIONS PTE. LTD.,276330
NST000ETT16000201,"Supply, Delivery, Installation and Commissioning of Research Data Archival System for System Refresh and Enhancement","Agency for Science, Technology and Research",15/2/2017,Awarded to Suppliers,EQcoms Technology Pte Ltd,253000
NST000ETT16000202,"MAINTENANCE CONTRACT OF NETWORK EQUIPMENT, FOR BOTH HARDWARE AND SOFTWARE, FOR THE PERIOD OF 1 YEAR","Agency for Science, Technology and Research",2/2/2017,Awarded to Suppliers,FUJITSU ASIA PTE LTD,386716
NST000ETT16000203,"Supply, Delivery, Installation and Commissioning of 1 unit of High Precision/Contactless Ultra Low Volume Liquid Transfer System for Functional and Chemical Genomic Applications","Agency for Science, Technology and Research",28/2/2017,Awarded to Suppliers,Bio Laboratories Pte Ltd,611000
NST000ETT16000208,COMPREHENSIVE BUILDING MAINTENANCE FOR VALLEY BLOCK FOR A PERIOD OF ONE YEAR WITH AN OPTION TO EXTEND FOR ONE YEAR,"Agency for Science, Technology and Research",28/2/2017,Awarded to Suppliers,A PLUS ENGRG & SERVICES PTE. LTD.,120000
NST000ETT16000212,"Supply, Delivery, Installation and Commissioning of Cryostat assembly for 3-omega","Agency for Science, Technology and Research",19/4/2017,Awarded to Suppliers,ITS Science & Medical Pte Ltd,116800
NST000ETT16000214,"The set consists of high precision AC shunts, measurement instrument and accessories for high precision measurement and calibration of AC current by direct absolute and ac-dc transfer methods.","Agency for Science, Technology and Research",3/3/2017,Awarded to Suppliers,UNITEST INSTRUMENTS PTE. LTD.,273000
NST000ETT16000215,SUPPLY AND COMMISSIONING OF AN X-RAY 3D COMPUTED TOMOGRAPHY (CT) SCANNING SYSTEM COMPRISING OF A HIGH-VOLTAGE AND A MEDIUM-VOLTAGE X-RAY TUBE.,"Agency for Science, Technology and Research",2/5/2017,Awarded to Suppliers,Nikon Singapore Pte Ltd,1943550
NST000ETT16000216,"Supply, Delivery, Testing and Commissioning of a Multi-Photon Laser Scanning Microscope System Designed for Kidney Fibrosis Quantification To INSTITUTE OF MOLECULAR AND CELL BIOLOGY (IMCB, 61 Biopolis Drive, Proteos Building, Singapore 138673.","Agency for Science, Technology and Research",29/3/2017,Awarded to Suppliers,CLINNOVATE HEALTH PTE. LTD.,198500
NST000ETT16000217,"Supply, Delivery, Installation and Commissioning of Two (2) Inverted Confocal Microscopes Equipped for Multi-Channel, Z-Stacking Imaging of Fluorescent Fixed Biological Samples","Agency for Science, Technology and Research",19/1/2017,Awarded to Suppliers,OLYMPUS SINGAPORE PTE LTD,399451
NST000ETT16000218,Repair on all cracks line and hollow plaster. All crack lines have to do a V-cut and patch. This will also apply to parapet walls on the roof areas. Water proofing is required on all patched areas and also at the roof top floor areas along the parapet walls. Lastly 1 coat of sealer/primer and 2 top coats/finishing is required on the walls,"Agency for Science, Technology and Research",20/2/2017,Awarded to Suppliers,TAY HAO PAINT WORKS PTE LTD,115000
NST000ETT16000219,"Supply, delivery, installation and commissioning of a precision temperature-controlled air bath enclosure and a temperature monitoring system","Agency for Science, Technology and Research",29/3/2017,Awarded to Suppliers,SUPERTRON SENSING PTE. LTD.,35000
NST000ETT16000219,"Supply, delivery, installation and commissioning of a precision temperature-controlled air bath enclosure and a temperature monitoring system","Agency for Science, Technology and Research",29/3/2017,Awarded to Suppliers,UNITEST INSTRUMENTS PTE. LTD.,48500
NST000ETT16000221,Provision of Utilities Hook Up and Facilities Works for Spin Coater Tool,"Agency for Science, Technology and Research",20/3/2017,Awarded to No Suppliers,Unknown,0
NST000ETT16000222,"Supply, delivery and commissioning of two (2) 4C lab refrigerator units, two (2) -20C freezer units and two (2) -80C freezer units, including Installation Qualification (IQ) and Operational Qualification (OQ).","Agency for Science, Technology and Research",20/3/2017,Awarded to Suppliers,FISHER SCIENTIFIC PTE LTD,63723.01
NST000ETT16000223,"To design, fabricate, deliver and install 2 sets of platforms and elephant legs for semiconductor manufacturing equipment in Fusionopolis Synthesis Cleanrooms","Agency for Science, Technology and Research",22/3/2017,Awarded to No Suppliers,Unknown,0
NST000ETT16000224,A precision configuration system of a Gas Chromatograph with flame ionization detectors (FIDs) and thermal desorption sampling system for the analysis of volatile organic compounds in nitrogen and air.,"Agency for Science, Technology and Research",3/5/2017,Awarded to Suppliers,PAC INSTRUMENTS ASIA PTE. LTD.,229109.5
NST000ETT16000225,"SUPPLY, DELIVERY, INSTALLATION, TESTING AND COMMISSIONING OF ONE (1) SET OF LASER SPECKLE CONTRAST ANALYSIS IMAGING DEVICE AT SINGAPORE BIOIMAGING CONSORTIUM (SBIC)","Agency for Science, Technology and Research",3/2/2017,Awarded to Suppliers,SOMNOTEC (S) PTE. LTD.,99000
NST000ETT16000226,"Provision of Media Monitoring Services to A*STAR for 12 Months, with an option to exercise for another 12 months","Agency for Science, Technology and Research",28/3/2017,Awarded to Suppliers,NEWS SEARCH (SINGAPORE) PTE. LTD.,95760
NST000ETT16000227,TENDER FOR PROVISION OF EVENT MANAGEMENT SERVICES FOR THE SCIENCE AND TECHNOLOGY ORGANISATIONS SUMMIT 2017,"Agency for Science, Technology and Research",5/5/2017,Awarded to Suppliers,Spark Planners Pte Ltd,104330
NST000ETT16000228,"SUPPLY, DELIVERY, INSTALLATION, TESTING AND COMMISSIONING OF ONE UNIT OF REAL TIME CELL ANALYSER","Agency for Science, Technology and Research",26/4/2017,Awarded to Suppliers,ITS Science & Medical Pte Ltd,97200
NST000ETT17000001,"Pipeline system for high pressure gas flow loop with bypass (the operating pressure 28 bar and 35 bar) with measurement equipment including flow meters, pressure and temperature sensors and transmitters, pneumatic attenuators and valves, etc","Agency for Science, Technology and Research",12/5/2017,Awarded to Suppliers,INTERGLOW (S) PTE. LTD.,624613.08
NST000ETT17000002,"Supply, Delivery of OIML Class E2, F1 and F2 50kg stainless steel reference mass standards for the calibration of mass standards and dissemination of mass quantity","Agency for Science, Technology and Research",7/3/2017,Awarded to Suppliers,ELIGO PTE. LTD.,64044
NST000ETT17000003,"DESIGN AND BUILD, TEST AND COMMISSION (I) DEHUMIDIFICATION SYSTEM(S) (DS), (II) ENVIRONMENTAL MONITORING SYSTEM (EMS) FOR LABORATORIES AT FUSIONOPOLIS TWO, TOWER B KINESIS","Agency for Science, Technology and Research",15/5/2017,Awarded to Suppliers,ZOE INTERNATIONAL PTE LTD,232600
NST000ETT17000004,"Supply and Delivery of Labour and Material for Interior Renovation Works from L2 to L8, in Genome Building.","Agency for Science, Technology and Research",15/2/2017,Awarded to Suppliers,ATELIER TANG (PTE.) LTD.,420000
NST000ETT17000005,"RELOCATION SERVICES FOR 6 UNITS OF SEMICONDUCTOR MANUFACTURING SYSTEMS TO FUSIONOPOLIS TWO, SYNTHESIS TOWER CLEANROOMS","Agency for Science, Technology and Research",22/3/2017,Awarded to Suppliers,CHASEN LOGISTICS SERVICES LIMITED,79950
NST000ETT17000006,Engagement of Outsourcing Contractor to handle the processing of patent invoices for Exploit Technologies Pte Ltd for a period of one year with option to extend for another year.,"Agency for Science, Technology and Research",24/3/2017,Awarded to No Suppliers,Unknown,0
NST000ETT17000007,"SUPPLY, DELIVERY, INSTALLATION, TRAINING AND COMMISSIONING OF ONE UNIT OF VIRTUAL REALITY WALL SYSTEM AT ARTC","Agency for Science, Technology and Research",21/3/2017,Awarded to Suppliers,VIRTALIS LIMITED,478869
NST000ETT17000008,TENDER FOR PROVISION OF MEETING PACKAGE FOR THE SCIENCE AND TECHNOLOGY ORGANISATIONS (STO) SUMMIT 2017,"Agency for Science, Technology and Research",12/5/2017,Awarded to Suppliers,ST. REGIS HOTEL SINGAPORE,87590.8
NST000ETT17000013,"To supply labour, transport and consumables for preventive maintenance, cleaning and annual inspection by Ministry of Manpower (MOM) of Sanyo and Hirayama autoclaves from 1 April 2017 to 31 March 2018, with the option to renew annually for the second and third year at the same prices, until 31 March 2020.","Agency for Science, Technology and Research",15/3/2017,Awarded to Suppliers,GAIA SCIENCE PTE. LTD.,22015
NST000ETT17000014,"To provide cleaning services for cleanrooms and laboratories at Basement 3 from 1 April 2017 to 31 March 2018, with the option to renew for second year and third year until 31 March 2020.","Agency for Science, Technology and Research",21/3/2017,Awarded to Suppliers,YARGAY MCI PTE. LTD.,24960
NST000ETT17000015,Supply and Delivery of Waste Disposal Services (Biohazard / Chemical / Radioactive) for a Period of One Year with Option to Extend for a Second Year,"Agency for Science, Technology and Research",4/4/2017,Awarded to Suppliers,AROMA CHEMICAL PRIVATE LIMITED,182730
NST000ETT17000015,Supply and Delivery of Waste Disposal Services (Biohazard / Chemical / Radioactive) for a Period of One Year with Option to Extend for a Second Year,"Agency for Science, Technology and Research",4/4/2017,Awarded to Suppliers,CRAMOIL SINGAPORE PTE LTD,107425
NST000ETT17000015,Supply and Delivery of Waste Disposal Services (Biohazard / Chemical / Radioactive) for a Period of One Year with Option to Extend for a Second Year,"Agency for Science, Technology and Research",4/4/2017,Awarded to Suppliers,TECHNOCHEM ENVIRONMENTAL COMPLEX PTE. LTD.,4300
NST000ETT17000017,"Comprehensive Daily Cleaning and Washing Services of Valley Block for a period of one (1) year from 15 March 2017 to 14 March 2018, with an option to extend another one (1) year from 15 March 2018 to 14 March 2019","Agency for Science, Technology and Research",8/6/2017,Awarded to Suppliers,LIFEFORCE MAINTENANCE & SERVICES,106800
NST000ETT17000018,PROVISION OF NON-COMPREHENSIVE MAINTENANCE SERVICES FOR THE AIR-CONDITIONING AND MECHANICAL VENTILATION SYSTEM AT SINGAPORE INSTITUTE FOR CLINICAL SCIENCES (SICS) FOR TWO (2) YEARS WITH AN OPTION TO EXTEND FOR ANOTHER TWO (2) YEARS,"Agency for Science, Technology and Research",3/5/2017,Awarded to Suppliers,GDS ENGINEERING PTE LTD,61920
NST000ETT17000019,"The microwave primary power standard is an integrated system, including some commercial equipment (e.g., Type IV power meter, signal generator, transfer standards, and voltage meters etc.), necessary control and analysis software, and accessories. The microwave primary power standard (microcalorimeter) to be procured shall have a Type-N coaxial connection and cover the operating frequency from 10 MHz to 18 GHz","Agency for Science, Technology and Research",15/5/2017,Awarded to Suppliers,CHINA NATIONAL METROLOGY TECHNOLOGY DEVELOPMENT CORPORATION,172838
NST000ETT17000020,The low humidity generator shall serve as the national reference standard for traceable calibration of hygrometers in the range of -95C to +10C frost/dew point. It shall be capable of continuously generating nitrogen gas with accurately known humidity values in order to calibrate various hygrometers such as dew point meters and trace moisture analysers.,"Agency for Science, Technology and Research",28/3/2017,Awarded to Suppliers,"RH SYSTEMS, LLC",295000
NST000ETT17000021,"To supply, deliver, install and commission one (1) unit of Energy Dispersive X-ray Spectroscopy (EDS) 80 mm2 Silicon Drift detector and accessories on the current Scanning Electron Microscope (SEM) in IBN. Disposal of existing EDS detector in IBN.","Agency for Science, Technology and Research",7/3/2017,Awarded to Suppliers,JEOL ASIA PTE. LTD.,116000
NST000ETT17000022,"Supply, Delivery, Installation, Testing, and Commissioning of One (1) Unit of a Lustre based High Performance Data Storage Array","Agency for Science, Technology and Research",23/3/2017,Awarded to Suppliers,SILICON GRAPHICS PTE LTD,371762
NST000ETT17000025,PROVISION OF TRANSCRIPTION AND CODING SERVICES FOR AUDIO FILES IN MP3 FORMAT AND OPTION FOR VIDEO FILES IN CCTV FORMAT FOR SINGAPORE INSTITUTE FOR CLINICAL SCIENCES (SICS),"Agency for Science, Technology and Research",2/11/2017,Awarded to Suppliers,GLOBAL LINGO (S) PTE. LTD.,14750
NST000ETT17000026,"DESIGN-AND-BUILD OF SHOWCASE AT 2, FUSIONOPOLIS WAY, LEVEL 8, INNOVIS, SINGAPORE 138634","Agency for Science, Technology and Research",17/5/2017,Awarded to Suppliers,Kingsmen Exhibits Pte Ltd,169794
NST000ETT17000027,ADDITION AND ALTERATION WORKS FOR VIRTUAL REALITY (VR) SYSTEM AT CLEANTECH 2,"Agency for Science, Technology and Research",17/4/2017,Awarded to Suppliers,SMM PTE. LTD.,259180
NST000ETT17000028,TENDER FOR PSYCHOMETRIC ASSESSMENT TOOL/ASSESSMENT SERVICES FOR A*STAR SCHOLARSHIP CANDIDATES,"Agency for Science, Technology and Research",25/4/2017,Awarded to Suppliers,RAFFLES MEDICAL GROUP LTD,784850
NST000ETT17000030,Supply and delivery of one (1) piece of Iridium (Ir) sputtering target for thin film physical vapor deposition (PVD) on 8 inch wafers.,"Agency for Science, Technology and Research",21/7/2017,Awarded to No Suppliers,Unknown,0
NST000ETT17000031,THREE YEARS NON-COMPREHENSIVE MAINTENANCE OF BEDDING TRANSFER AND TUNNEL WASHER EQUIPMENT SYSTEM AT BIOLOGICAL RESOURCE CENTRE DEPARTMENT 3,"Agency for Science, Technology and Research",16/5/2017,Awarded to Suppliers,ACRE ENGINEERING PTE LTD,153600
NST000ETT17000033,"Supply and delivery of System Hardware (RFID Reader, RFID Printer and Mobile Phone) to execute the industry -wide adoption for Industry Inventory Tracking System (ITS) and Collection & Delivery Management System (CDMS).","Agency for Science, Technology and Research",23/5/2017,Awarded to Suppliers,HETECH SOLUTIONS PTE. LTD.,24510
NST000ETT17000033,"Supply and delivery of System Hardware (RFID Reader, RFID Printer and Mobile Phone) to execute the industry -wide adoption for Industry Inventory Tracking System (ITS) and Collection & Delivery Management System (CDMS).","Agency for Science, Technology and Research",23/5/2017,Awarded to Suppliers,SATO ASIA PACIFIC PTE. LTD.,423600
NST000ETT17000034,TENDER FOR PROVISION OF EXECUTIVE SEARCH SERVICES FOR A THREE (03) YEAR PERIOD WITH RETAINER OPTION,"Agency for Science, Technology and Research",5/6/2017,Awarded to Suppliers,PERRETT LAVER LIMITED,60000
NST000ETT17000035,"To supply, deliver and install ballasts and light-emitting diode (LED) light bulbs for all laboratories, from Levels 4 to 9 at Institute of Bioengineering and Nanotechnology (IBN).","Agency for Science, Technology and Research",12/6/2017,Awarded to Suppliers,EZZOGENICS PTE. LTD.,61322
NST000ETT17000036,"Supply, delivery, installation, commissioning, maintenance and management of two (2) units of 100GE network routers For Science and Engineering Institutes (SCEI)","Agency for Science, Technology and Research",14/7/2017,Awarded to Suppliers,TERRABIT NETWORKS PTE. LTD.,666304
NST000ETT17000037,"PROVISION OF DESIGN, BUILD AND RE-LOCATION SERVICES FOR BIOPOLIS MATRIX BUILDING, BASEMENT 2","Agency for Science, Technology and Research",16/5/2017,Awarded to Suppliers,MACTECH ENGINEERING & TRADING PTE. LIMITED,244960
NST000ETT17000038,"SUPPLY, DELIVERY AND INSTALLATION OF STORAGE COMPACTORS, AND RE-LOCATION WORKS FOR NATURAL PRODUCT LIBRARY AT BIOPOLIS MATRIX BUILDING, BASEMENT 2","Agency for Science, Technology and Research",6/6/2017,Awarded to Suppliers,ACEPROJECT CONSTRUCTION PTE. LTD.,138075
NST000ETT17000039,TENDER FOR PROVISION OF EVENT MANAGEMENT SERVICES FOR ONE-NORTH RUN 2017,"Agency for Science, Technology and Research",6/6/2017,Awarded to Suppliers,PINK APPLE PTE. LTD.,224214
NST000ETT17000040,"To supply, deliver, install and commission one (1) unit of automation system for liquid handling platform integrated with existing plate washer and plate reader.","Agency for Science, Technology and Research",12/5/2017,Awarded to Suppliers,ITS Science & Medical Pte Ltd,204420
NST000ETT17000041,To convert current laboratory space at BCMM level 2 to ancillary offices with workstations and meeting rooms,"Agency for Science, Technology and Research",5/9/2017,Awarded to Suppliers,GDS ENGINEERING PTE LTD,392312.9
NST000ETT17000042,"Supply, Delivery, Installation, Commissioning and Training of Network Attack Traffic Generation System","Agency for Science, Technology and Research",23/6/2017,Awarded to Suppliers,NCS PTE. LTD.,138646.47
NST000ETT17000043,"Semi-auto gauge block comparator with long range measuring probe allowing one reference to be compared with about 20 test blocks. The system should consist mainly of a robust working stage, software for data transfer and automatic temperature compensation","Agency for Science, Technology and Research",24/7/2017,Awarded to Suppliers,Automated Micron Assembly Pte Ltd,120660
NST000ETT17000044,"One unit of Humidity Chamber Temperature Range: (0 to 90) C, Dew Point Range: (-30 to 89) C and Humidity Range: (5 to 95) % relative humidity","Agency for Science, Technology and Research",9/1/2018,Awarded to No Suppliers,Unknown,0
NST000ETT17000045,"COMPREHENSIVE MAINTENANCE OF DE-IONISED WATER, DILUTION AND pH NEUTRALISATION SYSTEM AT BIOPOLIS @ONE-NORTH","Agency for Science, Technology and Research",28/4/2017,Awarded to Suppliers,EPS (2008) PTE. LTD.,243840
NST000ETT17000046,"SUPPLY AND DELIVERY OF MICRORNA (MIRNA) QUANTITATIVE POLYMERASE CHAIN REACTION (QPCR) ASSAYS AND SYBR GREEN MASTER MIX FOR THE EXPRESSION PROFILING OF A SELECTION OF 360 SPECIFIC HUMAN MIRNAS IN 1,325 RNA SAMPLES FOR A PERIOD OF 1 YEAR","Agency for Science, Technology and Research",19/6/2017,Awarded to Suppliers,MIRXES PTE. LTD.,1036080
NST000ETT17000047,Off-site storage service for 3 years with the option of yearly renewal for 2 more years,"Agency for Science, Technology and Research",17/5/2017,Awarded to Suppliers,Crown Worldwide Pte Ltd,183338.4
NST000ETT17000049,SUPPLY AND DELIVERY OF CLEANROOM CONSUMABLE FOR A PERIOD OF ONE YEAR WITH AN OPTION TO EXTEND FOR ONE YEAR,"Agency for Science, Technology and Research",28/7/2017,Awarded to Suppliers,ASTRONICS TECHNOLOGIES PRIVATE LIMITED,990
NST000ETT17000049,SUPPLY AND DELIVERY OF CLEANROOM CONSUMABLE FOR A PERIOD OF ONE YEAR WITH AN OPTION TO EXTEND FOR ONE YEAR,"Agency for Science, Technology and Research",28/7/2017,Awarded to Suppliers,ELLIPSIZ DSS PTE. LTD.,83386
NST000ETT17000049,SUPPLY AND DELIVERY OF CLEANROOM CONSUMABLE FOR A PERIOD OF ONE YEAR WITH AN OPTION TO EXTEND FOR ONE YEAR,"Agency for Science, Technology and Research",28/7/2017,Awarded to Suppliers,FISHER SCIENTIFIC PTE LTD,4006
NST000ETT17000049,SUPPLY AND DELIVERY OF CLEANROOM CONSUMABLE FOR A PERIOD OF ONE YEAR WITH AN OPTION TO EXTEND FOR ONE YEAR,"Agency for Science, Technology and Research",28/7/2017,Awarded to Suppliers,HYPERCLEAN TECHNOLOGY (S) PTE LTD,7839
NST000ETT17000049,SUPPLY AND DELIVERY OF CLEANROOM CONSUMABLE FOR A PERIOD OF ONE YEAR WITH AN OPTION TO EXTEND FOR ONE YEAR,"Agency for Science, Technology and Research",28/7/2017,Awarded to Suppliers,NEUMED PTE. LTD.,6186.4
NST000ETT17000049,SUPPLY AND DELIVERY OF CLEANROOM CONSUMABLE FOR A PERIOD OF ONE YEAR WITH AN OPTION TO EXTEND FOR ONE YEAR,"Agency for Science, Technology and Research",28/7/2017,Awarded to Suppliers,VWR SINGAPORE PTE. LTD.,9252.5
NST000ETT17000052,Provision of Total Gas & Chemical Management (TGCM) services with the Option for Yearly Extension for up to Two (2) Years.,"Agency for Science, Technology and Research",27/6/2017,Awarded to Suppliers,AIR LIQUIDE SINGAPORE PRIVATE LIMITED,632930
NST000ETT17000053,"COMPREHENSIVE SERVICE, MAINTENANCE AND REPAIR OF AUDIO-VISUAL SYSTEM AT BIOPOLIS @ONE-NORTH","Agency for Science, Technology and Research",17/5/2017,Awarded to Suppliers,PAVE System Pte Ltd,99000
NST000ETT17000054,Invitation to Tender for Provision of Event Management Services Event for Science Event and Open House to the Public @ One-North,"Agency for Science, Technology and Research",28/6/2017,Awarded to Suppliers,E35 PTE. LTD.,375884.2
NST000ETT17000055,VARIOUS SERVICES FOR THE HUMANIZATION OF A MOUSE MONOCLONAL ANTIBODY AT INSTITUTE OF MOLECULAR AND CELL BIOLOGY (IMCB),"Agency for Science, Technology and Research",13/10/2017,Awarded to No Suppliers,Unknown,0
NST000ETT17000057,"To supply and deliver Human Interferon-Alpha enzyme-linked immunosorbent assay (ELISA) Kits for the period from 1 June 2017 to 31 March 2018, with an option to renew for the second year from 1 April 2018 to 31 March 2019 at the same price.","Agency for Science, Technology and Research",9/6/2017,Awarded to Suppliers,AXIL SCIENTIFIC PTE. LTD.,55984
NST000ETT17000060,Supply of Electricity to Fusionopolis for 6 months with option to extend for 1 month,"Agency for Science, Technology and Research",28/7/2017,Awarded to Suppliers,SERAYA ENERGY PTE LTD,2587761.16
NST000ETT17000062,1. One 4 cavity Hot Runner Mould for Reservoir & Bottom Cartridge 2. Temperature Controller for 8 zones hot runner system 3. Product must include valve gate hot runner system 4. Mold-flow analysis results must be provided to SIMTech for confirmation prior to the mould fabrication. 5. Mould 3D STEP tool design must be provided upon mould design review approval. 6. Mould trial buy-off testing must be tested at in-house Arburg Injection Moulding Machine.,"Agency for Science, Technology and Research",21/6/2017,Awarded to Suppliers,LEK HUNG MOULDING PTE LTD,185000
NST000ETT17000064,"Reconfiguration of existing cubicle height, replace fabric of existing panels and create new discussion areas partitioned off by system furniture panels","Agency for Science, Technology and Research",14/7/2017,Awarded to Suppliers,VANGUARD INTERIORS PTE LTD,252483.1
NST000ETT17000065,"Supply, Delivery, Installation and Commissioning of DWDM Optical Network over SingAREN SLIX.","Agency for Science, Technology and Research",7/9/2017,Awarded to Suppliers,FUJITSU ASIA PTE LTD,854854
NST000ETT17000065,"Supply, Delivery, Installation and Commissioning of DWDM Optical Network over SingAREN SLIX.","Agency for Science, Technology and Research",7/9/2017,Awarded to Suppliers,TERRABIT NETWORKS PTE. LTD.,1214526.52
NST000ETT17000066,The infrastructure-related systems in ICES comprise of: a. ACMV systems Air Cooled Chilled Water System & Variable Refrigerant Volume (VRV) Systems Air Handling Units (AHU) b. Lab Exhaust Control System c. BMS,"Agency for Science, Technology and Research",26/9/2017,Awarded to Suppliers,LITTLE SWAN AIR-CONDITIONING & ENGINEERING PTE. LTD.,4500000
NST000ETT17000067,"supply and delivery of the following products and services: a. One Lithium-Ion Battery b. Battery chamber c. Installation, testing and commissioning of the entire System; and d. Documentation and User Training. The Lithium-Ion battery system is to be operated with EPGCs Power Conversion System to provide power and energy for research and development purpose in the area of storage application for the Power Grid.","Agency for Science, Technology and Research",6/11/2017,Awarded to Suppliers,GENPLUS PTE. LTD.,169600
NST000ETT17000069,"SUPPLY AND DELIVERY OF LABOUR, EQUIPMENT AND MATERIALS TO PROVIDE PREVENTIVE MAINTENANCE SERVICES FOR GAS DETECTORS AT INSTITUTE OF MICROELECTRONICS BUILDING FOR A PERIOD OF TWO (2) YEARS WITH AN OPTION TO RENEW FOR ANOTHER YEAR ONE (1) YEAR","Agency for Science, Technology and Research",8/8/2017,Awarded to Suppliers,"HONEYWELL ANALYTICS ASIA PACIFIC CO., LTD.",972736.11
NST000ETT17000070,"BUILD, DELIVERY, INSTALLATION, TRAINING, COMMISSIONING AND MAINTENANCE OF ONE UNIT OF HIGH PRECISION 3D MICRO HYBRID MANUFACTURING SYSTEM (POWDER-BED MICRO SELECTIVE LASER MELTING AND SURFACE FINISHING SYSTEM) AND/OR ONE UNIT OF HYBRID 3D ADDITIVE AND SUBTRACTIVE MANUFACTURING SYSTEM (UTILIZING THE DIRECT LASER DEPOSITION AND 5-AXIS MACHINING)","Agency for Science, Technology and Research",6/9/2017,Awarded to Suppliers,IDI LASER SERVICES PTE LTD,1479000
NST000ETT17000071,The item(s) to be purchased shall comprise the following components: a. Two units of temperature controlled enclosures b. Two units of temperature monitoring thermometer c. Training,"Agency for Science, Technology and Research",28/7/2017,Awarded to Suppliers,ECKINDA TECHNOLOGY PTE. LTD.,52600
NST000ETT17000071,The item(s) to be purchased shall comprise the following components: a. Two units of temperature controlled enclosures b. Two units of temperature monitoring thermometer c. Training,"Agency for Science, Technology and Research",28/7/2017,Awarded to Suppliers,UNITEST INSTRUMENTS PTE. LTD.,26299.2
NST000ETT17000073,SERVICE AND PREVENTIVE MAINTENANCE CONTRACTS FOR TWO (2) UNITS OF MASS SPECTROMETRY (MS) SYSTEMS FOR A PERIOD OF 24 MONTHS WITH AN EXERCISABLE OPTION TO EXTEND THE CONTRACT FOR 1 ADDITIONAL YEAR (12 MONTHS) SUBJECT TO OUR DISCRETION AND OPERATIONAL REQUIREMENTS,"Agency for Science, Technology and Research",26/7/2017,Awarded to Suppliers,WATERS PACIFIC PTE. LTD.,172200
NST000ETT17000074,POST WARRANTY MAINTENANCE AND SERVICE OF 9 X VIIA7 REAL-TIME POLYMERASE CHAIN REACTION (QPCR) SYSTEMS FOR PERIOD 01 JUL 2017 TO 31 DEC 2018,"Agency for Science, Technology and Research",6/7/2017,Awarded to Suppliers,LIFE TECHNOLOGIES HOLDINGS PTE. LTD.,74250
NST000ETT17000075,"Supply, delivery, installation and commissioning of one unit of Computer Numeric Controlled (CNC) Lathe","Agency for Science, Technology and Research",27/9/2017,Awarded to Suppliers,DMG MORI SINGAPORE PTE. LTD.,399000
NST000ETT17000076,"SUPPLY, DELIVERY, INSTALLATION, TESTING AND COMMISIONING 2 SETS OF REAL-TIME NEURAL DATA ACQUISITION SYSTEM AT NATIONAL UNIVERSITY OF SINGAPORE (NUS)","Agency for Science, Technology and Research",11/9/2017,Awarded to Suppliers,"RIPPLE, LLC",201772.09
NST000ETT17000077,ENGAGING OF INSTRUCTOR(S) TO CONDUCT A SERIES OF SKILL-BASED WORKSHOPS TARGETED AT A*STAR RESEARCHERS,"Agency for Science, Technology and Research",11/9/2017,Awarded to Suppliers,SCIENTIFIC REACH,56120
NST000ETT17000078,"Installation, Testing, Commissioning and Training for One Unit of A Ultrahigh Resolution Three-Dimensional Freeform Fabrication System","Agency for Science, Technology and Research",31/8/2017,Awarded to Suppliers,EINST TECHNOLOGY PTE. LTD.,846575.04
NST000ETT17000079,TENDER FOR PROVISION OF EVENT MANAGEMENT SERVICES FOR THE PRESIDENTS SCIENCE AND TECHNOLOGY AWARDS (PSTA) 2017 CEREMONY AND DINNER,"Agency for Science, Technology and Research",25/9/2017,Awarded to Suppliers,Spark Planners Pte Ltd,74642.5
NST000ETT17000082,Selective Laser Melting (3D Printer for metal/ceramic/composite),"Agency for Science, Technology and Research",4/10/2017,Awarded to Suppliers,TRUMPF PTE LTD,331871.96
NST000ETT17000083,"Supply, delivery, installation and commissioning of two units of cesium beam frequency standard","Agency for Science, Technology and Research",27/11/2017,Awarded to Suppliers,STELLENT NETWORKS PTE. LTD.,219510
NST000ETT17000084,"The system to be purchased shall consist of the following components: a. Calibration of laboratory standard microphones b. Calibration of sound level meters c. Calibration of noise dosimeters d. Calibration of the data acquisition hardware in the system e. Auxiliary equipment (thermo-hygrometer, etc) for proper operation of the system","Agency for Science, Technology and Research",14/11/2017,Awarded to Suppliers,SHAMA TECHNOLOGIES (S) PTE LTD,488000
NST000ETT17000085,TENDER FOR THE ENGAGEMENT OF AN EXTERNAL SCIENTIFIC PUBLISHER FOR WRITING OF RESEARCH ARTICLES AND PRODUCTION OF THE A*STAR RESEARCH PUBLICATION FOR AN EIGHT (08) MONTH PERIOD WITH OPTION TO RENEW FOR ANOTHER ONE (01) YEAR,"Agency for Science, Technology and Research",31/7/2017,Awarded to Suppliers,NATURE JAPAN KK,362282
NST000ETT17000086,"Supply, Delivery, Installation and Commission of One Unit of 2D Micro X-Ray Diffraction (Micro-XRD) System","Agency for Science, Technology and Research",7/9/2017,Awarded to Suppliers,BRUKER SINGAPORE PTE. LTD.,438100
